Date,open_sp,high_sp,low_sp,close_sp,volume_sp
"Sep 29, 2016","2168.90","2172.67","2145.20","2151.13","4215620000"
"Sep 28, 2016","2161.85","2172.40","2151.79","2171.37","3860390000"
"Sep 27, 2016","2146.04","2161.13","2141.55","2159.93","3414090000"
"Sep 26, 2016","2158.54","2158.54","2145.04","2146.10","3199910000"
"Sep 23, 2016","2173.29","2173.75","2163.97","2164.69","3289860000"
"Sep 22, 2016","2170.94","2179.99","2170.94","2177.18","3523860000"
"Sep 21, 2016","2144.58","2165.11","2139.57","2163.12","3685450000"
"Sep 20, 2016","2145.94","2150.80","2139.17","2139.76","3117380000"
"Sep 19, 2016","2143.99","2153.61","2135.91","2139.12","3141820000"
"Sep 16, 2016","2146.48","2146.48","2131.20","2139.16","5014360000"
"Sep 15, 2016","2125.36","2151.31","2122.36","2147.26","3373720000"
"Sep 14, 2016","2127.86","2141.33","2119.90","2125.77","3664100000"
"Sep 13, 2016","2150.47","2150.47","2120.27","2127.02","4141670000"
"Sep 12, 2016","2120.86","2163.30","2119.12","2159.04","4010480000"
"Sep 09, 2016","2169.08","2169.08","2127.81","2127.81","4233960000"
"Sep 08, 2016","2182.76","2184.94","2177.49","2181.30","3727840000"
"Sep 07, 2016","2185.17","2187.87","2179.07","2186.16","3319420000"
"Sep 06, 2016","2181.61","2186.57","2175.10","2186.48","3447650000"
"Sep 02, 2016","2177.49","2184.87","2173.59","2179.98","3091120000"
"Sep 01, 2016","2171.33","2173.56","2157.09","2170.86","3392120000"
"Aug 31, 2016","2173.56","2173.79","2161.35","2170.95","3766390000"
"Aug 30, 2016","2179.45","2182.27","2170.41","2176.12","3006800000"
"Aug 29, 2016","2170.19","2183.48","2170.19","2180.38","2654780000"
"Aug 26, 2016","2175.10","2187.94","2160.39","2169.04","3342340000"
"Aug 25, 2016","2173.29","2179.00","2169.74","2172.47","2969310000"
"Aug 24, 2016","2185.09","2186.66","2171.25","2175.44","3148280000"
"Aug 23, 2016","2187.81","2193.42","2186.80","2186.90","3041490000"
"Aug 22, 2016","2181.58","2185.15","2175.96","2182.64","2777550000"
"Aug 19, 2016","2184.24","2185.00","2175.13","2183.87","3084800000"
"Aug 18, 2016","2181.90","2187.03","2180.46","2187.02","3300570000"
"Aug 17, 2016","2177.84","2183.08","2168.50","2182.22","3388910000"
"Aug 16, 2016","2186.24","2186.24","2178.14","2178.15","3196400000"
